Id,Home Number,Reading,Status,Date,Time,Temperature,Humidity
SEM-001,B-21,9.529,UP,01/12/2024,5:28,18.0,67.2
SEM-002,B-33,38.074,UP,01/12/2024,5:30,18.4,68.4
SEM-001,B-21,9.534,UP,01/12/2024,5:38,17.9,66.9
SEM-002,B-33,38.114,UP,01/12/2024,5:40,18.4,68.3
SEM-001,B-21,9.541,UP,01/12/2024,5:48,17.9,66.8
SEM-002,B-33,38.153,UP,01/12/2024,5:50,18.3,68.2
SEM-001,B-21,9.546,UP,01/12/2024,5:58,17.8,66.7
SEM-002,B-33,38.183,UP,01/12/2024,6:0,18.3,68.3
SEM-001,B-21,9.551,UP,01/12/2024,6:8,17.8,66.5
SEM-002,B-33,38.19,UP,01/12/2024,6:10,18.2,68.3
SEM-001,B-21,9.557,UP,01/12/2024,6:18,17.8,66.2
SEM-002,B-33,38.195,UP,01/12/2024,6:20,18.3,67.8
SEM-001,B-21,9.563,UP,01/12/2024,6:28,17.8,66.2
SEM-002,B-33,38.2,UP,01/12/2024,6:30,18.2,67.8
SEM-001,B-21,9.57,UP,01/12/2024,6:38,17.7,66.6
SEM-002,B-33,38.205,UP,01/12/2024,6:40,18.2,67.9
SEM-001,B-21,9.575001,UP,01/12/2024,6:48,17.7,66.4
SEM-002,B-33,38.21,UP,01/12/2024,6:50,18.2,67.9
SEM-001,B-21,9.581,UP,01/12/2024,6:58,17.7,66.4
SEM-002,B-33,38.24,UP,01/12/2024,7:0,18.2,68.0
SEM-001,B-21,9.585999,UP,01/12/2024,7:8,17.6,66.4
SEM-002,B-33,38.278,UP,01/12/2024,7:10,18.2,67.9
SEM-001,B-21,9.59,UP,01/12/2024,7:19,17.6,66.5
SEM-002,B-33,38.317,UP,01/12/2024,7:20,18.2,67.8
SEM-001,B-21,9.598001,UP,01/12/2024,7:29,17.7,66.7
SEM-002,B-33,38.34,UP,01/12/2024,7:30,18.1,67.9
SEM-001,B-21,9.603001,UP,01/12/2024,7:39,17.7,67.2
SEM-002,B-33,38.344,UP,01/12/2024,7:40,18.1,68.2
SEM-001,B-21,9.609,UP,01/12/2024,7:49,17.7,67.5
SEM-002,B-33,38.35,UP,01/12/2024,7:50,18.1,68.3
SEM-001,B-21,9.613001,UP,01/12/2024,7:59,17.7,68.0
SEM-002,B-33,38.355,UP,01/12/2024,8:0,18.1,68.5
SEM-001,B-21,9.618,UP,01/12/2024,8:9,17.8,68.6
SEM-002,B-33,38.36,UP,01/12/2024,8:10,18.1,68.6
SEM-001,B-21,9.625,UP,01/12/2024,8:19,17.9,69.0
SEM-002,B-33,38.364,UP,01/12/2024,8:20,18.1,69.0
SEM-001,B-21,9.631001,UP,01/12/2024,8:29,17.9,69.8
SEM-002,B-33,38.406,UP,01/12/2024,8:30,18.0,70.1
SEM-001,B-21,9.635,UP,01/12/2024,8:39,17.9,70.4
