Id,Home Number,Reading,Status,Date,Time,Temperature,Humidity
SEM-001,B-21,155.096,UP,01/02/2025,5:36,17.9,62.6
SEM-003,B-33,357.272,UP,01/02/2025,5:38,18.1,66.7
SEM-001,B-21,155.098,UP,01/02/2025,5:46,17.9,62.6
SEM-003,B-33,357.284,UP,01/02/2025,5:48,18.1,66.7
SEM-001,B-21,155.103,UP,01/02/2025,5:56,17.9,62.4
SEM-003,B-33,357.305,UP,01/02/2025,5:58,18.1,66.2
SEM-001,B-21,155.109,UP,01/02/2025,6:6,17.9,62.4
SEM-003,B-33,357.336,UP,01/02/2025,6:8,18.1,66.1
SEM-001,B-21,155.111,UP,01/02/2025,6:16,17.9,62.3
SEM-003,B-33,357.37,UP,01/02/2025,6:18,18.1,66.1
SEM-001,B-21,155.114,UP,01/02/2025,6:26,17.9,62.2
SEM-003,B-33,357.402,UP,01/02/2025,6:28,18.1,65.8
SEM-001,B-21,155.118,UP,01/02/2025,6:36,17.8,62.3
SEM-003,B-33,357.418,UP,01/02/2025,6:38,18.1,65.9
SEM-001,B-21,155.123,UP,01/02/2025,6:46,17.8,62.0
SEM-003,B-33,357.431,UP,01/02/2025,6:48,18.1,65.8
SEM-001,B-21,155.127,UP,01/02/2025,6:56,17.8,62.0
SEM-003,B-33,357.442,UP,01/02/2025,6:58,17.9,65.9
SEM-001,B-21,155.129,UP,01/02/2025,7:6,17.7,62.0
SEM-003,B-33,357.454,UP,01/02/2025,7:8,18.0,66.0
SEM-001,B-21,155.132,UP,01/02/2025,7:16,17.8,61.9
SEM-003,B-33,357.466,UP,01/02/2025,7:18,17.9,65.9
SEM-001,B-21,155.135,UP,01/02/2025,7:26,17.7,62.0
SEM-003,B-33,357.478,UP,01/02/2025,7:28,17.9,65.8
SEM-001,B-21,155.142,UP,01/02/2025,7:36,17.7,63.4
SEM-003,B-33,357.49,UP,01/02/2025,7:38,17.9,65.9
SEM-001,B-21,155.145,UP,01/02/2025,7:46,17.7,63.5
SEM-003,B-33,357.507,UP,01/02/2025,7:48,17.9,66.0
SEM-001,B-21,155.147,UP,01/02/2025,7:56,17.6,63.9
SEM-003,B-33,357.54,UP,01/02/2025,7:58,17.9,66.1
SEM-001,B-21,155.151,UP,01/02/2025,8:6,17.6,64.3
SEM-003,B-33,357.571,UP,01/02/2025,8:8,17.9,66.3
SEM-001,B-21,155.155,UP,01/02/2025,8:16,17.5,64.7
SEM-003,B-33,357.603,UP,01/02/2025,8:18,17.9,66.4
SEM-001,B-21,155.16,UP,01/02/2025,8:26,17.5,64.8
SEM-003,B-33,357.617,UP,01/02/2025,8:28,18.0,66.8
SEM-001,B-21,155.163,UP,01/02/2025,8:36,17.5,64.9
SEM-003,B-33,357.63,UP,01/02/2025,8:38,18.0,67.0
SEM-001,B-21,155.166,UP,01/02/2025,8:46,17.5,65.0
SEM-003,B-33,357.657,UP,01/02/2025,8:48,18.0,66.8
SEM-001,B-21,155.169,UP,01/02/2025,8:56,17.5,65.0
SEM-003,B-33,357.7,UP,01/02/2025,8:58,18.0,67.4
SEM-001,B-21,155.174,UP,01/02/2025,9:6,17.6,64.9
SEM-003,B-33,357.74,UP,01/02/2025,9:8,18.0,66.7
SEM-001,B-21,155.178,UP,01/02/2025,9:16,17.6,64.8
SEM-003,B-33,357.775,UP,01/02/2025,9:18,18.0,65.8
SEM-001,B-21,155.181,UP,01/02/2025,9:26,17.6,64.7
SEM-003,B-33,357.81,UP,01/02/2025,9:28,18.0,63.7
SEM-001,B-21,155.183,UP,01/02/2025,9:36,17.6,64.9
SEM-003,B-33,357.916,UP,01/02/2025,9:38,18.0,62.4
SEM-001,B-21,155.186,UP,01/02/2025,9:46,17.6,64.8
SEM-003,B-33,358.263,UP,01/02/2025,9:48,18.1,58.0
SEM-001,B-21,155.192,UP,01/02/2025,9:56,17.7,63.9
SEM-003,B-33,358.587,UP,01/02/2025,9:58,18.3,59.9
SEM-001,B-21,155.195,UP,01/02/2025,10:6,17.7,63.2
SEM-003,B-33,358.925,UP,01/02/2025,10:9,18.4,60.1
SEM-001,B-21,155.197,UP,01/02/2025,10:16,17.8,62.9
SEM-003,B-33,359.253,UP,01/02/2025,10:19,18.6,61.3
SEM-001,B-21,155.199,UP,01/02/2025,10:23,17.5,62.9
SEM-003,B-33,359.369,UP,01/02/2025,10:25,18.4,61.0
SEM-001,B-21,155.203,UP,01/02/2025,10:33,17.8,62.5
SEM-003,B-33,359.478,UP,01/02/2025,10:35,18.6,60.8
SEM-001,B-21,155.209,UP,01/02/2025,10:43,17.8,62.3
SEM-003,B-33,359.532,UP,01/02/2025,10:45,18.8,61.0
SEM-001,B-21,155.211,UP,01/02/2025,10:53,17.8,62.4
SEM-003,B-33,359.632,UP,01/02/2025,10:55,18.9,60.5
SEM-001,B-21,155.214,UP,01/02/2025,11:3,17.9,62.2
SEM-003,B-33,359.67,UP,01/02/2025,11:5,18.9,61.5
SEM-001,B-21,155.214,UP,01/02/2025,11:9,16.8,65.6
SEM-003,B-33,359.676,UP,01/02/2025,11:11,18.1,64.2
SEM-001,B-21,155.22,UP,01/02/2025,11:19,17.6,63.3
SEM-003,B-33,359.711,UP,01/02/2025,11:21,18.9,61.8
SEM-003,B-33,359.723,UP,01/02/2025,11:26,18.7,60.8
SEM-001,B-21,155.223,UP,01/02/2025,11:24,17.2,64.1
SEM-001,B-21,155.223,UP,01/02/2025,11:27,17.2,64.4
SEM-003,B-33,359.729,UP,01/02/2025,11:28,18.5,62.1
SEM-001,B-21,155.229,UP,01/02/2025,11:37,17.7,63.1
SEM-003,B-33,359.76,UP,01/02/2025,11:38,19.2,60.2
SEM-001,B-21,155.231,UP,01/02/2025,11:47,17.8,62.5
SEM-003,B-33,359.792,UP,01/02/2025,11:48,19.3,59.0
SEM-001,B-21,155.234,UP,01/02/2025,11:57,17.9,62.4
SEM-003,B-33,359.823,UP,01/02/2025,11:58,19.4,58.4
SEM-001,B-21,155.237,UP,01/02/2025,12:7,17.9,62.1
SEM-003,B-33,359.863,UP,01/02/2025,12:8,19.6,55.9
SEM-001,B-21,155.242,UP,01/02/2025,12:17,17.9,61.6
