Id,Home Number,Reading,Status,Date,Time,Temperature,Humidity
SEM-001,B-21,208.139,UP,01/03/2025,5:29,21.2,67.6
SEM-003,B-33,490.346,UP,01/03/2025,5:31,21.8,69.7
SEM-002,B-22,77.46,UP,01/03/2025,5:29,20.8,75.4
SEM-001,B-21,208.151,UP,01/03/2025,5:39,21.2,67.4
SEM-003,B-33,490.349,UP,01/03/2025,5:41,21.8,69.5
SEM-002,B-22,77.468,UP,01/03/2025,5:39,20.8,74.8
SEM-001,B-21,208.159,UP,01/03/2025,5:49,21.1,67.2
SEM-003,B-33,490.357,UP,01/03/2025,5:51,21.8,69.2
SEM-002,B-22,77.478,UP,01/03/2025,5:49,20.8,74.9
SEM-001,B-21,208.167,UP,01/03/2025,5:59,21.1,67.2
SEM-003,B-33,490.382,UP,01/03/2025,6:1,21.8,69.4
SEM-002,B-22,77.484,UP,01/03/2025,5:59,20.8,74.8
SEM-001,B-21,208.174,UP,01/03/2025,6:9,21.1,67.6
SEM-003,B-33,490.409,UP,01/03/2025,6:11,21.8,69.3
SEM-002,B-22,77.48901,UP,01/03/2025,6:9,20.7,74.7
SEM-001,B-21,208.184,UP,01/03/2025,6:19,21.1,67.6
SEM-003,B-33,490.436,UP,01/03/2025,6:21,21.8,69.3
SEM-002,B-22,77.493,UP,01/03/2025,6:19,20.8,74.8
SEM-001,B-21,208.195,UP,01/03/2025,6:29,21.1,68.1
SEM-003,B-33,490.445,UP,01/03/2025,6:31,21.8,69.4
SEM-002,B-22,77.497,UP,01/03/2025,6:29,20.7,74.7
SEM-001,B-21,208.201,UP,01/03/2025,6:39,21.1,68.0
SEM-003,B-33,490.449,UP,01/03/2025,6:41,21.7,69.4
SEM-002,B-22,77.505,UP,01/03/2025,6:39,20.7,74.6
SEM-001,B-21,208.209,UP,01/03/2025,6:49,21.1,68.1
SEM-002,B-22,77.514,UP,01/03/2025,6:49,20.7,74.7
SEM-003,B-33,490.453,UP,01/03/2025,6:53,21.7,69.4
SEM-001,B-21,208.218,UP,01/03/2025,6:59,21.1,68.2
SEM-003,B-33,490.456,UP,01/03/2025,7:1,21.7,69.6
SEM-002,B-22,77.522,UP,01/03/2025,6:59,20.7,75.0
SEM-001,B-21,208.229,UP,01/03/2025,7:9,21.1,68.6
SEM-003,B-33,490.464,UP,01/03/2025,7:11,21.7,69.6
SEM-002,B-22,77.52499,UP,01/03/2025,7:9,20.7,75.2
SEM-001,B-21,208.236,UP,01/03/2025,7:19,21.1,68.9
SEM-003,B-33,490.489,UP,01/03/2025,7:21,21.7,69.6
SEM-002,B-22,77.53,UP,01/03/2025,7:19,20.7,75.0
SEM-001,B-21,208.244,UP,01/03/2025,7:29,21.1,69.1
SEM-003,B-33,490.514,UP,01/03/2025,7:31,21.7,69.8
SEM-002,B-22,77.534,UP,01/03/2025,7:29,20.7,75.1
SEM-001,B-21,208.252,UP,01/03/2025,7:39,21.1,69.3
SEM-003,B-33,490.542,UP,01/03/2025,7:41,21.7,69.9
SEM-002,B-22,77.539,UP,01/03/2025,7:39,20.7,75.3
